Réservation au nom de ;Domaines;Ressource ;Description :;Heure - Durée :;Type;Dernière mise à jour
1;PC Courte Duree;PC B CD 1;DELL Latitude E5580;mercredi 01 septembre 2021 08:30:00 - 9 heure(s);Emprunt;mardi 29 juin 202115:33:18
2;NOUVEAUX PC COURTE DUREE;PC B CD n�11;Dell Latitude 3410;mercredi 03 f�vrier 2021 12:00:00 - 30 semaine(s) et 23 heure(s);Emprunt;jeudi 24 juin 202113:48:17
3;Tablettes Ipad - Longue Dur�e;Ipad n�4;Ipad;jeudi 26 ao�t 2021 09:00:00 - 2 semaine(s) et 23 heure(s);Emprunt;lundi 06 septembre 202109:42:38
3;Tablettes Ipad - Longue Dur�e;Ipad n�9;Ipad;lundi 06 septembre 2021 08:30:00 - 4 jour(s), 8 heure(s) et 30 minute(s);Maintenance;lundi 06 septembre 202109:37:36
3;Tablettes Ipad - Longue Dur�e;Ipad n�8;Ipad;lundi 06 septembre 2021 08:30:00 - 4 jour(s), 8 heure(s) et 30 minute(s);Maintenance;mercredi 08 septembre 202117:03:43
3;Tablettes Ipad - Longue Dur�e;Ipad n�5;Ipad;lundi 06 septembre 2021 08:30:00 - 4 jour(s), 8 heure(s) et 30 minute(s);Maintenance;mercredi 08 septembre 202117:05:37
3;Tablettes Ipad - Longue Dur�e;Ipad n�6;Ipad;lundi 06 septembre 2021 08:30:00 - 4 jour(s), 8 heure(s) et 30 minute(s);Maintenance;mercredi 08 septembre 202117:05:58
3;Tablettes Ipad - Longue Dur�e;Ipad n�7;Ipad;lundi 06 septembre 2021 08:30:00 - 4 jour(s), 8 heure(s) et 30 minute(s);Maintenance;mercredi 08 septembre 202117:06:14
4;Videoprojecteur;VP 01;Epson EBW29;lundi 13 septembre 2021 14:00:00 - 2 heure(s);Cours;lundi 13 septembre 202113:59:16
5;Tablettes Ipad - Longue Dur�e;Ipad n�2;Pas de clavier;lundi 13 septembre 2021 11:00:00 - 1 jour(s), 1 heure(s) et 30 minute(s);Emprunt;lundi 13 septembre 202115:50:54
5;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;lundi 13 septembre 2021 09:30:00 - 1 jour(s), 5 heure(s) et 30 minute(s);Emprunt;lundi 13 septembre 202110:30:07
5;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;mardi 14 septembre 2021 15:00:00 - 19 heure(s);Cours;lundi 13 septembre 202109:59:30
5;NOUVEAUX PC COURTE DUREE;PC B CD n�3;DELL Latitude E5580;mardi 14 septembre 2021 15:00:00 - 19 heure(s);Cours;lundi 13 septembre 202109:59:30
5;NOUVEAUX PC COURTE DUREE;PC B CD n�3;DELL Latitude E5580;mercredi 15 septembre 2021 14:30:00 - 19 heure(s) et 30 minute(s);Emprunt;mercredi 15 septembre 202114:34:47
6;Enceinte;RONDSON n�5;;jeudi 16 septembre 2021 14:00:00 - 4 heure(s);Emprunt;jeudi 16 septembre 202114:01:28
6;Videoprojecteur;VP 04;Epson EB-W22;vendredi 17 septembre 2021 08:00:00 - 2 heure(s);Emprunt;vendredi 17 septembre 202108:10:25
7;PC Courte Duree;PC B CD 5;DELL Latitude E5580;vendredi 17 septembre 2021 14:00:00 - 2 heure(s);Cours;vendredi 17 septembre 202114:13:46
2;Enregistreur Numerique;Tascam mini n�2;DR-05 -  Sans c�ble USB;vendredi 17 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:20:50
2;Enregistreur Numerique;Tascam mini n�3;DR-05;vendredi 17 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:21:01
2;Enregistreur Numerique;Tascam mini n�4;DR-05;vendredi 17 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:21:12
2;Enregistreur Numerique;Tascam mini n�6;DR-05;vendredi 17 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:21:38
2;Enregistreur Numerique;Tascam mini n�7;Dr-05x;vendredi 17 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:22:02
2;Camescope;Camescope HD n�1;Panasonic HC-VXF1;vendredi 17 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:22:41
2;NOUVEAUX PC COURTE DUREE;PC B CD n�1;Dell Latitude 3410;lundi 13 septembre 2021 15:00:00 - 4 jour(s) et 2 heure(s);Cours;lundi 13 septembre 202116:04:16
2;Enregistreur Numerique;Tascam mini n�8;Dr-05x;vendredi 17 septembre 2021 11:00:00 - 6 heure(s);Emprunt;vendredi 17 septembre 202110:23:57
5;Videoprojecteur;VP 02;Epson EB-W29;mercredi 15 septembre 2021 16:00:00 - 2 jour(s) et 2 heure(s);Emprunt;mercredi 15 septembre 202116:03:44
3;Camescope;Camescope HD n�9;Panasonic HC-V770;mercredi 15 septembre 2021 10:00:00 - 5 jour(s) et 30 minute(s);Emprunt;mercredi 15 septembre 202109:41:40
8;Videoprojecteur;VP 02;Epson EB-W29;lundi 20 septembre 2021 11:00:00 - 7 heure(s);Cours;lundi 20 septembre 202111:02:01
4;NOUVEAUX PC COURTE DUREE;PC B CD n�10;Dell Latitude 3410;mercredi 15 septembre 2021 10:30:00 - 5 jour(s) et 22 heure(s);Cours;mercredi 15 septembre 202110:21:57
3;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;mardi 21 septembre 2021 16:00:00 - 2 heure(s);Cours;mardi 21 septembre 202115:56:46
9;Videoprojecteur;VP 01;Epson EBW29;mardi 21 septembre 2021 18:00:00 - 16 heure(s);Cours;mardi 21 septembre 202117:49:56
3;Videoprojecteur;VP 02;Epson EB-W29;mercredi 22 septembre 2021 14:00:00 - 3 heure(s);Cours;mercredi 22 septembre 202113:59:33
2;NOUVEAUX PC LONGUE DUREE;PC B LD n�1;Dell Latitude 3410;mercredi 01 septembre 2021 16:40:00 - 3 semaine(s), 1 heure(s) et 30 minute(s);Emprunt;jeudi 02 septembre 202114:27:44
13;NOUVEAUX PC COURTE DUREE;PC B CD n�2;DELL Latitude E5580;mercredi 22 septembre 2021 15:30:00 - 18 heure(s) et 30 minute(s);Emprunt;mercredi 22 septembre 202115:46:20
6;Videoprojecteur;VP 01;Epson EBW29;jeudi 23 septembre 2021 08:30:00 - 1 heure(s) et 30 minute(s);Emprunt;jeudi 23 septembre 202109:31:11
6;NOUVEAUX PC COURTE DUREE;PC B CD n�5;Dell Latitude 3410;jeudi 23 septembre 2021 09:30:00 - 2 heure(s) et 30 minute(s);Emprunt;jeudi 23 septembre 202109:44:32
6;Enceinte;RONDSON n�1 c�ble du Rondson n�3 car n�1 HS;;jeudi 23 septembre 2021 09:30:00 - 2 heure(s) et 30 minute(s);Emprunt;jeudi 23 septembre 202109:44:49
10;Tablettes Ipad - Longue Dur�e;Ipad n�5;Ipad;jeudi 23 septembre 2021 11:00:00 - 1 jour(s);Emprunt;jeudi 23 septembre 202110:45:25
10;Tablettes Ipad - Longue Dur�e;Ipad n�6;Ipad;jeudi 23 septembre 2021 11:00:00 - 1 jour(s);Emprunt;jeudi 23 septembre 202110:45:38
11;NOUVEAUX PC COURTE DUREE;PC B CD n�9;Dell Latitude 3410;vendredi 17 septembre 2021 16:00:00 - 1 semaine(s);Emprunt;vendredi 17 septembre 202116:04:05
12;Videoprojecteur;VP 02;Epson EB-W29;vendredi 24 septembre 2021 08:00:00 - 8 heure(s);Cours;vendredi 24 septembre 202108:17:18
2;Enregistreur Numerique;Tascam mini n�2;DR-05 -  Sans c�ble USB;vendredi 24 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:23:40
2;Enregistreur Numerique;Tascam mini n�3;DR-05;vendredi 24 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:25:23
2;Enregistreur Numerique;Tascam mini n�4;DR-05;vendredi 24 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:25:29
2;Enregistreur Numerique;Tascam mini n�5;DR-05;vendredi 24 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:25:35
2;Enregistreur Numerique;Tascam mini n�6;DR-05;vendredi 24 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:25:41
2;Enregistreur Numerique;Tascam mini n�7;Dr-05x;vendredi 24 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:25:50
2;Camescope;Camescope HD n�1;Panasonic HC-VXF1;vendredi 24 septembre 2021 11:00:00 - 6 heure(s);Emprunt;lundi 13 septembre 202114:26:14
3;Videoprojecteur;VP 17;Epson EB-W29;mercredi 15 septembre 2021 11:30:00 - 1 semaine(s), 2 jour(s), 5 heure(s) et 30 minute(s);Maintenance;mercredi 15 septembre 202111:23:37
8;NOUVEAUX PC COURTE DUREE;PC B CD n�1;Dell Latitude 3410;lundi 20 septembre 2021 09:00:00 - 4 jour(s) et 8 heure(s);Cours;lundi 20 septembre 202108:59:00
